,0 epochs,1 epoch,2 epochs,3 epochs,4 epochs,5 epochs,6 epochs,7 epochs,8 epochs,9 epochs,10 epochs
Trial #1,34.78260869565217,51.08695652173913,67.93478260869566,73.91304347826086,77.17391304347827,79.34782608695652,80.43478260869566,80.97826086956522,81.52173913043478,81.52173913043478,82.06521739130434
Trial #2,70.1086956521739,70.65217391304348,71.73913043478261,72.28260869565217,74.45652173913044,75.54347826086956,75.54347826086956,76.63043478260869,77.17391304347827,78.80434782608695,78.80434782608695
Trial #3,47.28260869565217,50.54347826086957,53.80434782608695,59.78260869565217,64.13043478260869,67.93478260869566,71.73913043478261,73.36956521739131,76.63043478260869,78.26086956521739,79.8913043478261
Trial #4,61.41304347826087,69.56521739130434,73.36956521739131,76.63043478260869,80.43478260869566,80.43478260869566,81.52173913043478,82.06521739130434,82.06521739130434,82.06521739130434,82.6086956521739
Trial #5,65.21739130434783,72.28260869565217,73.36956521739131,75.54347826086956,79.34782608695652,81.52173913043478,82.06521739130434,82.6086956521739,83.69565217391305,83.69565217391305,83.69565217391305
Trial #6,50.0,54.891304347826086,59.78260869565217,69.56521739130434,72.28260869565217,77.17391304347827,77.71739130434783,79.34782608695652,81.52173913043478,80.43478260869566,80.43478260869566
Trial #7,49.45652173913043,54.347826086956516,65.76086956521739,69.02173913043478,71.19565217391305,73.36956521739131,77.17391304347827,78.80434782608695,80.43478260869566,80.97826086956522,83.15217391304348
Trial #8,72.82608695652173,73.36956521739131,76.08695652173914,77.71739130434783,78.26086956521739,78.80434782608695,79.8913043478261,79.8913043478261,80.97826086956522,82.6086956521739,82.06521739130434
Trial #9,42.934782608695656,51.63043478260869,59.2391304347826,67.3913043478261,71.73913043478261,73.91304347826086,76.63043478260869,79.34782608695652,80.97826086956522,80.97826086956522,80.97826086956522
Trial #10,47.28260869565217,56.52173913043478,70.65217391304348,77.71739130434783,82.06521739130434,83.15217391304348,82.6086956521739,83.15217391304348,83.15217391304348,84.78260869565217,84.78260869565217
Trial #11,61.41304347826087,72.82608695652173,74.45652173913044,76.08695652173914,76.08695652173914,77.71739130434783,77.71739130434783,78.26086956521739,79.34782608695652,79.8913043478261,80.43478260869566
Trial #12,60.86956521739131,70.65217391304348,76.63043478260869,83.15217391304348,83.69565217391305,83.69565217391305,84.23913043478261,83.69565217391305,83.69565217391305,84.78260869565217,84.78260869565217
Trial #13,46.73913043478261,58.69565217391305,65.21739130434783,67.93478260869566,70.1086956521739,71.73913043478261,73.91304347826086,76.08695652173914,75.54347826086956,75.0,76.63043478260869
Trial #14,50.54347826086957,61.95652173913043,69.56521739130434,72.82608695652173,77.71739130434783,79.34782608695652,80.43478260869566,82.06521739130434,83.15217391304348,83.15217391304348,83.15217391304348
Trial #15,46.19565217391305,64.13043478260869,70.1086956521739,76.63043478260869,76.08695652173914,77.71739130434783,77.71739130434783,77.71739130434783,79.34782608695652,79.34782608695652,79.8913043478261
Trial #16,68.47826086956522,73.36956521739131,76.08695652173914,78.80434782608695,80.97826086956522,80.43478260869566,81.52173913043478,82.06521739130434,82.6086956521739,82.6086956521739,82.6086956521739
Trial #17,49.45652173913043,59.2391304347826,65.76086956521739,71.19565217391305,75.0,77.71739130434783,77.71739130434783,78.80434782608695,79.34782608695652,80.43478260869566,79.8913043478261
Trial #18,58.152173913043484,66.84782608695652,70.1086956521739,71.19565217391305,73.36956521739131,75.54347826086956,77.71739130434783,78.26086956521739,79.34782608695652,79.34782608695652,79.34782608695652
Trial #19,41.84782608695652,41.30434782608695,41.84782608695652,46.73913043478261,58.152173913043484,65.21739130434783,71.73913043478261,78.80434782608695,82.6086956521739,83.15217391304348,84.78260869565217
Trial #20,59.2391304347826,76.63043478260869,80.97826086956522,83.15217391304348,82.6086956521739,82.6086956521739,83.15217391304348,84.23913043478261,85.32608695652173,84.78260869565217,84.23913043478261
Trial #21,51.08695652173913,59.78260869565217,69.56521739130434,70.65217391304348,75.54347826086956,77.17391304347827,77.17391304347827,77.71739130434783,78.26086956521739,77.71739130434783,77.71739130434783
Trial #22,54.347826086956516,60.86956521739131,66.30434782608695,72.28260869565217,75.54347826086956,77.17391304347827,78.26086956521739,79.8913043478261,80.43478260869566,82.06521739130434,82.06521739130434
Trial #23,44.02173913043478,51.08695652173913,65.21739130434783,74.45652173913044,77.17391304347827,79.34782608695652,80.43478260869566,80.97826086956522,80.97826086956522,81.52173913043478,82.06521739130434
Trial #24,69.56521739130434,69.56521739130434,72.82608695652173,73.36956521739131,73.91304347826086,75.0,76.63043478260869,77.71739130434783,77.71739130434783,77.71739130434783,79.8913043478261
Trial #25,59.78260869565217,70.1086956521739,72.82608695652173,75.54347826086956,77.17391304347827,76.63043478260869,78.26086956521739,77.17391304347827,77.17391304347827,78.26086956521739,78.80434782608695
Trial #26,75.54347826086956,76.08695652173914,78.80434782608695,80.43478260869566,80.97826086956522,82.06521739130434,82.06521739130434,82.06521739130434,82.06521739130434,82.6086956521739,83.15217391304348
Trial #27,48.91304347826087,52.71739130434783,55.97826086956522,69.56521739130434,77.17391304347827,80.43478260869566,80.97826086956522,80.97826086956522,82.06521739130434,82.06521739130434,82.6086956521739
Trial #28,67.93478260869566,70.1086956521739,73.36956521739131,75.0,77.17391304347827,77.71739130434783,77.71739130434783,77.71739130434783,79.34782608695652,79.34782608695652,78.80434782608695
Trial #29,59.2391304347826,63.04347826086957,67.93478260869566,70.65217391304348,73.36956521739131,76.63043478260869,76.63043478260869,78.26086956521739,79.34782608695652,78.80434782608695,79.8913043478261
Trial #30,44.565217391304344,58.152173913043484,69.56521739130434,75.0,76.08695652173914,79.34782608695652,80.43478260869566,83.69565217391305,83.69565217391305,83.69565217391305,84.23913043478261
Trial #31,64.67391304347827,73.36956521739131,75.0,75.54347826086956,77.17391304347827,77.17391304347827,77.71739130434783,77.71739130434783,78.26086956521739,78.80434782608695,80.97826086956522
Trial #32,60.32608695652174,73.91304347826086,77.71739130434783,80.43478260869566,80.43478260869566,81.52173913043478,80.97826086956522,80.97826086956522,81.52173913043478,82.06521739130434,81.52173913043478
